susp/con ZIKV cases,,Caribbean,Bolivia,Argentina,Brazil,Colombia,Ecuador,French Guiana,Guyana,Paraguay,Peru,Suriname,Venezuela
year,date,epi week,,,,,,,,,,,
2016,3-Jan,1,16,0,8197,2953,10,53,0,21,0,246,244
,10-Jan,2,20,2,8349,3450,16,80,0,35,0,229,516
,17-Jan,3,31,13,9499,4658,16,118,0,25,0,395,1100
,24-Jan,4,19,5,10488,5946,11,176,0,31,3,409,2173
,31-Jan,5,48,7,12964,6428,8,186,3,43,0,353,5172
,7-Feb,6,37,3,15157,5535,11,198,1,35,5,275,3944
,14-Feb,7,50,1,21272,4823,15,230,2,30,3,263,5171
,21-Feb,8,55,0,20858,3989,13,429,2,36,0,159,4430
,28-Feb,9,51,0,20106,3996,10,436,5,28,3,157,3501
,6-Mar,10,40,2,17524,3630,5,408,2,29,3,160,2671
,13-Mar,11,35,2,15656,2904,10,479,2,44,4,98,2244
,20-Mar,12,37,1,12810,2424,3,411,0,43,0,23,1216
,27-Mar,13,38,2,12715,3715,8,430,1,42,2,17,1442
,3-Apr,14,35,2,11261,3341,10,476,1,16,2,22,1587
,10-Apr,15,69,2,9997,3284,2,473,1,10,4,31,1301
,17-Apr,16,80,2,8404,3023,4,306,0,1,2,20,1557
,24-Apr,17,50,8,7415,2854,29,486,0,2,2,7,1273
,1-May,18,19,15,6147,2675,62,408,1,1,3,7,1001
,8-May,19,29,15,4998,2663,79,487,2,0,10,9,1224
,15-May,20,19,8,4119,2641,162,465,0,1,13,11,1349
,22-May,21,12,6,2998,2275,137,477,2,1,14,5,1493
,29-May,22,5,2,2930,2031,225,359,2,0,3,7,1451
,5-Jun,23,2,0,2512,1887,198,294,0,1,5,13,1187
,12-Jun,24,4,3,1894,1564,303,246,1,2,2,6,1786
,19-Jun,25,2,1,1549,1347,321,383,1,0,4,8,1571
,26-Jun,26,12,3,1336,1007,302,290,1,1,5,10,1192
,3-Jul,27,2,0,1130,1034,255,208,1,0,4,8,1123
,10-Jul,28,2,1,1021,836,266,117,1,4,2,4,1002
,17-Jul,29,2,6,908,629,227,133,0,2,5,14,956
,24-Jul,30,0,0,785,595,179,119,1,1,2,11,730
,31-Jul,31,0,0,694,457,124,63,,3,2,8,568
,7-Aug,32,6,0,628,412,78,67,,2,2,6,468
,14-Aug,33,4,2,530,339,87,77,,4,4,3,468
,21-Aug,34,7,3,507,296,65,25,,3,7,4,382
,28-Aug,35,1,3,413,286,41,73,,4,4,4,272
,4-Sep,36,2,8,349,247,38,77,,8,13,4,272
,11-Sep,37,1,2,378,183,27,32,,2,10,4,208
,18-Sep,38,4,0,294,201,18,39,,0,24,7,153
,25-Sep,39,2,0,294,164,19,24,,2,35,9,99
,2-Oct,40,5,0,328,183,11,24,,1,50,2,121
,9-Oct,41,5,0,258,161,10,61,,0,42,2,83
,16-Oct,42,1,0,349,161,13,34,,2,96,2,83
,23-Oct,43,1,0,383,128,10,62,,2,165,1,80
,30-Oct,44,13,0,330,143,7,25,,2,164,0,51
,6-Nov,45,18,0,378,100,16,16,,2,184,1,44
,13-Nov,46,11,0,276,108,17,46,,2,161,0,32
,20-Nov,47,21,0,349,79,15,15,,8,144,2,28
,27-Nov,48,22,0,383,100,11,24,,1,147,0,30
,4-Dec,49,17,0,330,112,10,16,,4,100,0,27
,11-Dec,50,19,0,240,85,16,23,,11,149,0,12
,18-Dec,51,18,0,158,66,10,8,,3,146,2,25
,25-Dec,52,9,0,108,48,20,17,,16,150,0,38
2017,1-Jan,1,30,0,741,70,18,25,,2,157,0,35
,8-Jan,2,30,1,815,59,17,14,,10,129,0,44
,15-Jan,3,71,0,875,84,18,32,,7,110,2,53
,22-Jan,4,127,0,987,84,27,22,,4,73,2,59
,29-Jan,5,128,4,1004,74,29,36,,5,56,0,32
,5-Feb,6,107,13,1064,75,35,36,,4,54,0,30
,12-Feb,7,137,14,1004,77,45,28,,1,36,1,21
,19-Feb,8,157,10,752,75,46,15,,4,19,0,30
,26-Feb,9,185,29,941,75,56,8,,4,59,0,21
,5-Mar,10,187,37,1004,63,111,18,,0,109,0,25
,12-Mar,11,122,59,987,62,138,22,,5,370,1,16
,19-Mar,12,140,44,974,41,123,6,,5,805,0,12
,26-Mar,13,140,47,941,59,123,7,,2,708,0,22
,2-Apr,14,138,102,897,45,153,0,,4,600,0,50
,9-Apr,15,105,82,768,44,133,14,,2,432,0,0
,16-Apr,16,81,60,752,55,197,22,,4,433,0,0
,23-Apr,17,58,31,726,53,176,8,,1,303,0,0
,30-Apr,18,53,39,690,41,222,16,,0,309,0,0
,7-May,19,53,38,470,44,231,21,,2,229,0,0
,14-May,20,50,14,356,51,235,18,,0,187,0,0
,21-May,21,35,5,155,41,210,11,,2,246,0,0
,28-May,22,33,7,61,42,161,21,,0,193,0,0
,4-Jun,23,10,2,,44,173,10,,0,122,,0
,11-Jun,24,,0,,42,162,10,,0,65,,0
,18-Jun,25,,17,,42,104,10,,1,61,,0
,25-Jun,26,,12,,44,71,15,,2,58,,0
,2-Jul,27,,0,,33,94,13,,0,37,,0
,9-Jul,28,,3,,52,54,0,,1,29,,0
,16-Jul,29,,0,,30,33,0,,0,17,,0
,23-Jul,30,,1,,44,25,37,,2,4,,0
,30-Jul,31,,0,,0,17,12,,1,0,,0
,6-Aug,32,,14,,,,6,,4,,,
,13-Aug,33,,,,,,7,,2,,,
,20-Aug,34,,,,,,7,,,,,
,27-Aug,35,,,,,,0,,,,,
,3-Sep,36,,,,,,10,,,,,
